"","lp__","hs[1]","hs[2]","hl","ts[1]","ts[2]","gamma","rho[1]","phi","delta[1]","delta[2]","delta[3]","delta[4]","L[1,1]","tau[1]","tau[2]","tau[3]","tau[4]","w[1]","lc[1,1]","lc[2,1]","lc[3,1]","lc[2,2]","lc[2,3]","lc[2,4]","alpha[1]","beta[1]","ll"
"35",-652.527,1.74317,3.91358,61.0189,-2.96202,0.375996,0.651179,2.37727,0.284312,0.19111,0.382349,0.135812,0.0892628,1.10676,0.726756,0.00147372,2.69128,0.0383518,2.18625,4.75738,6.75505,6.26702,6.8933,6.63185,5.62821,0.437033,0.429506,-571.472
"36",-659.429,2.39216,4.11696,56.3684,-2.24504,0.178239,0.358541,2.39023,0.300892,0.173233,0.45853,0.185443,0.103963,0.394601,1.05077,0.274422,2.2939,0.319091,3.33917,4.97565,6.6734,5.89952,6.98101,7.07784,5.90464,0.359267,0.654909,-584.354
"37",-648.228,1.84897,4.28056,72.9947,-2.03649,0.130887,0.450589,2.26766,0.223418,0.155749,0.42635,0.150483,0.0557028,1.53897,0.524273,1.39061,2.66179,0.297525,3.06602,4.56269,6.75576,7.15455,7.09635,6.68219,6.33993,0.282661,0.410867,-575.484
"38",-652.581,1.21642,4.85831,86.3968,-1.83083,-0.169396,0.360226,2.38895,0.236726,0.176455,0.447179,0.200027,0.124146,0.530283,1.01029,2.87643,1.21975,1.62626,2.64979,4.97195,6.80622,7.40916,7.06184,6.8465,6.49283,0.486516,0.510438,-579.014
"39",-641.901,1.20726,4.28901,70.0285,-2.50653,-0.293779,0.436976,2.34947,0.169182,0.186784,0.322961,0.175758,0.0786487,1.1515,1.88444,1.0526,2.14134,0.671585,3.77872,4.96233,6.84933,7.52383,7.26404,6.72137,5.83293,0.460737,0.311283,-574.889
"40",-640.301,2.29173,4.54015,66.4427,-1.56076,-0.657702,0.434978,2.56115,0.273698,0.209253,0.360572,0.178481,0.0858592,1.11802,1.40208,2.80684,2.1088,0.111725,3.12395,4.65758,6.84321,6.20687,7.28261,6.71926,6.28205,0.436354,0.341776,-572.183
"41",-645.958,2.1071,4.80357,75.7484,-2.73969,0.41337,0.49776,2.4691,0.197284,0.172622,0.454959,0.146791,0.162965,0.6012,0.724614,1.53207,1.61427,0.832919,2.34531,4.98904,6.8529,5.75433,6.93318,6.89608,6.36157,0.515203,0.633652,-574.785
"42",-655.139,2.2583,4.00038,93.6708,-2.69476,0.0273577,0.52792,2.33984,0.137719,0.202372,0.399153,0.146364,0.124063,0.881913,2.0493,0.372496,2.57385,0.0257868,3.14374,4.82152,6.82678,7.46848,7.13599,6.96085,5.89964,0.43534,0.459893,-575.92
"43",-643.981,2.00897,4.80891,56.491,-1.65432,0.360738,0.359207,2.36203,0.257467,0.222015,0.451604,0.229558,0.110724,1.62412,0.11033,0.843006,2.7334,0.546933,2.08184,4.34799,6.67651,7.66386,6.65104,6.786,5.80988,0.581597,0.620028,-576.983
"44",-655.88,2.17695,4.76181,70.9457,-2.39144,-0.499635,0.50629,2.52441,0.165347,0.160159,0.34716,0.134483,0.13175,0.313487,0.186518,2.05641,0.646753,0.561233,1.97282,5.08052,6.77107,4.8872,6.79325,6.94504,6.39239,0.478644,0.574301,-581.837
"45",-649.925,2.10594,3.61039,94.4058,-1.77467,-0.270623,0.44803,2.37198,0.274842,0.19523,0.400214,0.145842,0.174326,0.619299,1.77733,0.561119,2.0185,1.41032,3.23091,4.93873,6.83985,5.13991,7.21717,6.85989,5.93668,0.345101,0.341074,-576.035
"46",-653.393,1.06031,4.31961,77.4418,-3.03788,0.465783,0.618941,2.33327,0.322166,0.143935,0.422888,0.266618,0.149942,1.02627,0.957636,0.671707,1.44506,1.54429,3.35616,5.03394,6.67299,7.65108,7.03362,6.89748,5.67513,0.343892,0.47179,-583.34
"47",-654.349,2.43192,4.71786,48.0342,-3.30691,0.475379,0.376437,2.2698,0.31459,0.201264,0.350972,0.185699,0.0800844,0.744014,1.07915,3.4316,2.43068,1.23555,2.8882,4.8654,6.71468,6.04411,6.91607,6.73541,5.39561,0.479699,0.545218,-576.485
"48",-647.007,1.62725,4.18068,57.4384,-2.00855,0.08522,0.37816,2.25727,0.386388,0.225222,0.402155,0.170398,0.184398,0.304209,1.14229,1.8804,1.32012,1.02488,2.18648,4.98071,6.73107,5.10285,6.88236,6.82947,6.52925,0.662464,0.694794,-582.532
"49",-634.113,2.04873,3.45553,61.028,-2.35668,0.210632,0.327294,2.36014,0.3138,0.170018,0.427414,0.185372,0.161713,1.62911,0.272178,1.73616,2.12208,1.40045,3.15702,4.64074,6.78306,6.2607,7.072,6.72098,5.97077,0.321491,0.322487,-567.999
"50",-645.937,1.47627,3.99433,69.1727,-2.35265,-0.718376,0.477928,2.32878,0.286898,0.184081,0.373397,0.171397,0.0422521,0.360318,1.28571,0.653179,1.82783,2.94432,3.53743,5.01503,6.90906,6.46247,7.26378,6.76331,6.22655,0.350457,0.447605,-575.715
"51",-641.519,1.80633,4.22677,55.3919,-2.10381,0.649542,0.442609,2.01318,0.32266,0.173469,0.470966,0.183516,0.109103,0.555162,0.0742489,0.580526,3.28567,0.287823,2.95789,4.81507,6.68491,7.22985,6.96262,7.01722,5.73767,0.421194,0.441672,-571.858
"52",-643.677,2.84853,4.0752,91.3832,-2.07315,0.735838,0.332545,2.73168,0.232998,0.192323,0.405786,0.153055,0.0741202,1.49655,1.41773,0.150097,2.59698,3.97405,2.73139,4.70319,6.76764,6.85019,7.0616,6.8631,6.44059,0.381384,0.38469,-568.822
"53",-653.651,2.178,4.23787,86.26,-3.16755,-0.302852,0.418712,2.56662,0.289787,0.161834,0.377443,0.145813,0.0808743,0.778465,0.674676,1.60839,2.79535,0.238739,2.82443,5.01748,6.71018,7.58134,7.1595,6.66473,6.1662,0.364822,0.512753,-576.937
"54",-645.884,1.80531,4.44492,78.7431,-1.86656,0.634122,0.366249,2.47622,0.219263,0.150602,0.411685,0.133852,0.0958476,0.104797,2.09108,2.10658,1.66029,0.0877404,2.36009,5.16606,6.78359,5.74899,6.79746,6.91715,6.1083,0.512078,0.571008,-573.908
"55",-649.948,2.06743,4.83489,54.3387,-2.13902,0.102637,0.436222,2.71909,0.306681,0.191227,0.449334,0.123379,0.0936232,0.28516,1.33568,1.62126,2.36162,0.37738,2.37527,5.36035,6.8291,6.80449,6.79771,6.67211,5.52544,0.50262,0.662182,-574.987
"56",-647.875,1.22213,4.33301,50.8325,-2.0135,0.85623,0.499891,2.30246,0.213192,0.171652,0.427339,0.186546,0.121386,0.290918,1.46506,1.48426,1.41271,0.274124,2.56962,5.20802,6.63636,5.73435,6.78508,6.86933,6.45049,0.602925,0.536084,-575.794
"57",-642.027,2.00067,4.7036,71.3433,-2.8754,0.0111659,0.365044,2.62156,0.27036,0.191799,0.369363,0.218834,0.0711107,1.8197,1.33499,1.62101,1.94524,0.93889,2.19628,4.55661,6.80304,6.03735,6.8014,6.92464,6.82524,0.463931,0.609975,-575.396
"58",-664.738,2.14542,4.52066,45.723,-1.97862,-0.375773,0.312337,2.45782,0.315451,0.21783,0.44867,0.165916,0.22744,0.0684864,0.106668,0.429926,1.11578,0.682337,2.46411,5.30234,6.62836,6.12361,6.86159,6.87123,7.34366,0.533373,0.409457,-579.752
"59",-656.817,2.08387,4.488,92.0286,-2.6414,-0.163324,0.563931,2.47542,0.333674,0.182944,0.382175,0.170664,0.123428,0.406469,0.405307,1.57297,2.23455,0.866896,1.86899,5.0481,6.75324,5.37611,6.72735,7.04825,6.47156,0.564989,0.728614,-584.696
"60",-654.945,2.04409,4.03861,56.0756,-0.881842,0.313319,0.527621,2.5182,0.246533,0.179637,0.385725,0.161979,0.175258,0.211918,1.0262,1.64588,1.93118,2.71245,1.8439,5.05943,6.59238,6.33842,6.4743,6.73494,6.02651,0.849759,1.08138,-583.636
"61",-638.67,1.37652,3.85104,95.7403,-1.42889,-0.663965,0.548123,2.37579,0.283905,0.1626,0.412431,0.133881,0.199667,1.31958,0.912572,1.02287,2.17033,1.7641,4.13422,4.79685,6.97173,5.9724,7.3764,6.91661,6.19228,0.285425,0.353329,-572.08
"62",-644.949,1.36712,4.21905,54.9893,-1.98767,-0.56617,0.4842,2.30328,0.281896,0.167775,0.433538,0.177421,0.190253,1.47507,0.830437,1.47351,2.46151,0.210632,1.37519,4.27292,6.70143,5.76213,6.45107,6.80954,6.16526,1.00756,0.715342,-578.23
"63",-641.505,1.64165,4.18911,66.6394,-1.60251,0.280513,0.441118,2.16635,0.174622,0.186442,0.374628,0.160905,0.113741,1.27457,1.41556,0.54988,1.52635,1.69435,2.75471,4.61052,6.81499,5.41934,7.13729,6.73739,5.7569,0.40801,0.329094,-576.059
"64",-654.415,2.08868,4.9547,80.1517,-2.37291,0.127519,0.527461,2.3376,0.236646,0.184459,0.389055,0.149503,0.144276,0.278871,0.689826,0.849894,1.75587,0.935951,2.37314,5.32516,6.98787,7.09428,6.98795,6.84747,6.20404,0.57536,0.369701,-577.872
"65",-648.333,1.20961,4.33858,81.5174,-2.10464,-0.450526,0.418612,2.56187,0.23061,0.184497,0.433457,0.209707,0.146043,0.202835,0.427171,0.821213,3.12182,1.03089,3.92727,5.43772,6.79292,7.74249,7.23038,6.78249,6.40828,0.405872,0.432065,-578.931
"66",-648.749,1.89073,4.23869,91.4397,-1.3273,0.708835,0.429934,2.21264,0.243101,0.22781,0.514739,0.19643,0.138228,0.374148,0.0169354,1.12858,2.69315,0.753454,3.2098,5.02993,6.92724,6.20465,7.22206,6.95275,5.89464,0.51157,0.380944,-582.754
"67",-649.948,1.8505,3.65565,71.2417,-1.82633,0.725534,0.412844,2.37339,0.194578,0.182627,0.448309,0.164162,0.234533,0.92825,0.0644889,1.75965,3.49902,2.13448,2.6899,4.65032,6.68296,7.006,6.95023,6.62556,6.0371,0.425407,0.498656,-573.452
"68",-647.733,1.96941,3.94579,78.5425,-2.39996,0.827026,0.412449,2.27573,0.282064,0.140929,0.342051,0.154262,0.164487,0.0686338,0.49375,1.14328,1.60248,1.64063,3.02633,5.32073,6.55042,7.91158,6.65248,6.90546,6.07464,0.542248,0.823526,-581.787
"69",-658.022,1.983,4.27841,83.5205,-1.05235,0.327315,0.524926,2.49473,0.150513,0.187572,0.309687,0.0986707,0.128986,0.155677,0.188471,0.41203,2.12119,2.66919,2.71224,4.97939,6.62992,7.77967,7.00591,6.92439,6.30529,0.282315,0.305222,-584.904
"70",-653.393,1.76661,4.41991,62.9493,-1.64162,0.826531,0.48854,2.72257,0.267691,0.211833,0.362639,0.227047,0.101194,1.46651,1.96631,1.19819,2.29474,0.106307,2.23443,4.42154,6.73208,6.49598,6.96535,6.44813,6.11242,0.650585,0.553436,-585.905
"71",-653.651,2.24714,4.21847,72.9415,-2.58159,0.149612,0.388145,2.65976,0.257936,0.196877,0.403645,0.132543,0.153968,0.603672,0.861252,4.18032,0.197537,0.348313,3.18187,4.98103,6.80611,5.7053,7.112,6.77967,6.18195,0.312943,0.396748,-579.421
"72",-642.72,1.94368,4.67444,79.5181,-1.72554,-0.298494,0.41899,2.43871,0.24386,0.242391,0.475323,0.182562,0.0775139,1.30915,1.29524,0.73813,2.41988,0.750738,2.77222,4.69768,6.90599,6.64931,7.17613,6.93971,5.85914,0.464623,0.404749,-573.765
"73",-660.42,1.68739,3.81218,69.5967,-2.26688,1.18751,0.408454,2.60938,0.155248,0.197765,0.476187,0.166124,0.175,0.782833,3.42049,1.53183,2.10277,0.557338,2.63938,4.92374,6.72832,6.93004,7.01952,6.70751,5.69493,0.4822,0.297807,-589.773
"74",-651.155,1.63635,4.09578,57.3382,-1.99683,-0.566812,0.511813,2.77803,0.232476,0.196361,0.335661,0.164114,0.107954,0.637592,0.910786,2.68711,2.28969,0.259147,2.28514,4.97626,6.77094,7.02282,6.83016,6.80536,5.87242,0.524957,0.427984,-575.843
"75",-644.909,1.27455,4.09935,76.4604,-1.32581,0.84754,0.339895,2.28323,0.322087,0.222788,0.444868,0.187001,0.198863,0.463011,1.01994,1.45656,2.39854,1.76899,3.23444,4.99805,6.75321,7.02247,7.05703,6.87916,6.07519,0.491427,0.462625,-579.295
"76",-647.454,1.89674,4.83236,42.5458,-2.2794,-0.406624,0.525648,2.39122,0.296924,0.174923,0.367652,0.130113,0.082138,0.372331,2.53282,1.51507,1.93143,0.643379,1.98878,4.83182,6.80546,5.79216,6.57966,6.93138,5.78309,0.628609,0.793187,-574.126
"77",-644.507,2.41971,4.24202,106.521,-2.46019,-0.0463832,0.451092,2.95676,0.255986,0.187597,0.397118,0.200034,0.150475,1.37256,1.70529,1.69014,2.90055,2.26652,2.91403,4.8099,6.83901,6.75195,7.17804,6.75666,5.97594,0.30655,0.260037,-579.526
"78",-637.805,2.84151,4.35693,72.4287,-1.91172,0.583379,0.586762,2.37366,0.188974,0.205618,0.376281,0.168847,0.180401,0.897426,1.29383,0.166513,3.15929,0.878898,2.8958,4.74243,6.7778,6.66569,7.13698,6.78962,5.67312,0.3778,0.375211,-572.686
"79",-657.256,1.04291,4.7892,83.3522,-2.9955,-0.0360839,0.511921,2.76115,0.305146,0.233991,0.508222,0.227764,0.0619253,1.54252,0.885021,0.996918,2.65763,1.87661,3.04792,4.99788,6.81418,6.95211,7.16507,6.8112,6.31156,0.47116,0.379017,-577.596
"80",-657.609,2.92365,3.88612,58.6299,-2.57049,0.515234,0.454273,2.5052,0.221156,0.161138,0.337406,0.156289,0.185275,1.40353,1.67883,2.84738,3.85208,0.386172,2.3795,4.5593,6.68302,6.25361,6.97204,6.58664,6.20089,0.468055,0.325335,-575.35
"81",-663.93,1.28937,3.79834,84.7446,-2.24658,0.00735358,0.496462,2.44485,0.212859,0.213461,0.445193,0.129922,0.126941,0.50435,0.556568,0.177493,1.54319,0.169898,2.18942,5.10675,6.87245,4.72753,6.87137,6.90548,6.07868,0.499071,0.413294,-581.768
"82",-648.135,2.02486,4.59467,94.453,-1.76413,0.14977,0.473923,2.23723,0.230112,0.187405,0.342361,0.183692,0.162163,0.275978,2.14019,0.371005,1.82598,1.89823,3.62831,5.05379,7.03245,6.56925,7.17737,6.84497,5.9552,0.389574,0.315781,-577.329
"83",-648.608,1.37402,4.7193,56.7079,-1.24774,0.535691,0.354098,2.34872,0.171751,0.214949,0.411008,0.145563,0.192934,0.859446,1.02715,0.813199,2.49277,0.307268,2.71252,4.6991,6.73686,6.27673,7.04623,6.91026,5.72308,0.392174,0.451589,-578.144
"84",-655.222,1.11562,3.36432,64.7161,-2.15835,0.43308,0.615134,2.22297,0.332768,0.215328,0.406465,0.167521,0.0600142,0.209239,2.7744,1.42994,1.15247,0.173356,3.42274,5.14631,6.67656,6.21812,7.13714,6.88438,6.16972,0.373469,0.298397,-575.441
"85",-655.554,1.53752,4.37564,52.9103,-1.43799,-0.121971,0.544187,2.25543,0.300819,0.167282,0.357344,0.244865,0.18962,1.51909,0.705628,2.42568,2.63766,1.671,2.61385,4.54378,6.61087,7.51125,6.73632,6.90177,5.37031,0.512568,0.534296,-590.867
"86",-672.511,2.15483,4.73444,73.9336,-1.79588,-0.44323,0.36714,2.5131,0.340353,0.201714,0.421953,0.130724,0.0624766,1.37267,0.267282,1.05944,4.21966,0.348801,1.99111,4.53354,6.70132,6.02307,7.03891,7.17572,6.33366,0.550788,0.508543,-585.676
"87",-638.785,2.1047,4.34148,70.472,-2.70117,-0.139321,0.423362,2.36518,0.289757,0.193708,0.3855,0.112753,0.0583013,0.862112,1.48171,1.39668,2.72124,0.468475,3.82094,4.93424,6.82291,6.55262,7.26771,6.85853,6.79975,0.27356,0.347499,-570.372
"88",-643.695,2.14714,4.12109,65.8249,-1.6433,0.754924,0.521674,2.43701,0.357077,0.167323,0.362356,0.146619,0.117755,0.502842,1.63934,0.39298,1.18861,0.331193,2.70877,5.00298,6.70432,6.77239,6.86891,6.84369,6.17453,0.287587,0.317789,-569.936
"89",-651.132,2.30445,4.68886,84.2707,-2.02631,-0.48061,0.495626,2.46941,0.22366,0.243139,0.425047,0.154209,0.0995714,0.340025,1.552,2.33775,1.70829,0.852213,2.02728,5.06862,6.71722,5.56438,6.87655,6.88162,6.42093,0.560372,0.50036,-582.649
"90",-660.348,2.44394,4.5349,74.5565,-1.79827,0.725414,0.314069,2.67196,0.327566,0.215003,0.443055,0.186834,0.115205,1.95904,0.517951,3.11036,1.84066,2.96768,2.47541,4.48537,6.82107,6.00538,7.01111,6.85184,5.92492,0.406249,0.474061,-581.234
"91",-655.204,1.3025,4.34441,59.0489,-1.57454,1.37069,0.400665,2.76413,0.262242,0.18698,0.415854,0.146812,0.23497,0.731134,0.924198,2.77154,1.5667,0.101214,2.09508,4.93955,6.55573,6.9086,6.77518,6.62017,5.67275,0.387617,0.423139,-577.324
"92",-640.773,1.7305,4.50624,74.0719,-1.77349,0.463819,0.383968,2.45829,0.18299,0.202722,0.424261,0.174365,0.231565,0.275843,1.91729,0.640344,2.07188,0.789701,2.60503,5.05517,6.82824,5.87607,7.01215,6.69487,5.84891,0.494261,0.580039,-580.014
"93",-658.244,2.02242,4.70968,81.0487,-2.29403,0.476853,0.543847,2.50291,0.132196,0.181051,0.387776,0.165232,0.126778,0.100677,0.47796,1.69358,0.566609,0.993719,2.554,5.10942,6.70465,6.73186,7.02078,6.6526,6.18763,0.311269,0.500242,-581.264
"94",-644.475,1.65952,4.73653,57.7894,-2.1244,0.748368,0.434638,2.17556,0.294836,0.17542,0.415094,0.151523,0.144022,1.24568,0.984502,2.59026,2.96484,1.24911,2.15703,4.47833,6.89289,5.30061,6.9954,6.86135,5.15257,0.611692,0.532187,-573.345
"95",-639.753,0.609532,4.04681,62.3818,-1.79307,1.13171,0.492002,2.26351,0.288011,0.200892,0.370589,0.148194,0.160872,0.386281,0.555923,0.913686,2.17671,0.42148,2.44289,5.18751,6.54762,7.12847,6.87287,6.72149,5.77894,0.376615,0.494653,-571.208
"96",-648.66,2.43737,4.52848,93.1478,-1.49294,-0.719209,0.42786,2.37314,0.265821,0.180451,0.398,0.166749,0.204712,0.086174,0.308657,0.66255,0.249895,0.545142,2.554,5.17711,6.87493,6.42176,7.0437,7.04167,5.79384,0.496123,0.527073,-575.914
"97",-650.57,1.87555,4.11827,57.5727,-1.98066,-0.608673,0.538907,2.24462,0.204852,0.226065,0.324052,0.164952,0.108277,0.556173,0.40933,1.09408,1.67116,1.3378,3.87864,4.91192,6.70326,7.91148,7.12089,6.92847,6.01039,0.349258,0.222839,-580.206
"98",-659.453,1.70197,5.28983,71.8733,-1.33756,-0.00969756,0.489373,2.3579,0.294806,0.212108,0.395542,0.200203,0.200015,0.526247,0.0251226,0.27311,1.96165,0.502312,2.98965,4.91164,6.92455,4.87657,7.30914,7.03079,6.30017,0.463368,0.474296,-578.76
"99",-645.843,1.62277,4.16081,54.4658,-2.64305,0.460338,0.477345,2.22107,0.292365,0.154224,0.39105,0.138858,0.248903,1.09108,2.31501,2.01599,1.58474,1.25068,2.72965,4.7365,6.71025,5.88052,6.97366,6.97051,5.63564,0.307722,0.349148,-573.901
"100",-650.723,1.58242,4.6768,87.6462,-2.0061,0.131246,0.368076,2.61471,0.308104,0.178902,0.40961,0.177875,0.129532,0.119885,0.011748,3.56952,2.10083,0.225032,2.99385,5.40311,6.88786,6.30112,7.19492,6.78049,6.28908,0.392037,0.41629,-573.646
"101",-651.481,2.10052,4.34234,62.8343,-2.36264,-0.119202,0.592447,2.50223,0.268521,0.21021,0.401262,0.159853,0.171942,1.08257,0.877028,0.340258,2.35001,0.389152,2.21785,4.78063,6.79488,6.52805,6.98089,6.69199,5.95717,0.535031,0.542923,-580.229
"102",-655.86,2.32126,4.06717,102.695,-1.92314,0.191277,0.332482,2.56409,0.297797,0.145819,0.343595,0.136636,0.157457,1.08424,0.750854,1.59276,1.96651,0.0734179,3.1619,4.83545,6.86783,6.43821,7.10644,6.77753,6.80992,0.229888,0.51815,-578.483
"103",-632.982,2.20565,3.14915,71.9839,-1.91293,0.982179,0.452493,2.49297,0.241436,0.169333,0.429818,0.140895,0.131694,0.828107,1.06644,1.13357,3.62518,1.61318,2.93963,4.7245,6.67136,7.36881,6.87356,6.81433,6.02209,0.375709,0.519828,-570.803
"104",-656.175,2.2468,4.63441,70.3112,-2.12212,1.105,0.524212,2.40135,0.233132,0.218756,0.382731,0.169553,0.169965,0.218339,0.59203,0.60584,0.994987,0.74929,4.28209,5.05392,6.84746,6.38312,7.25201,6.82893,5.7652,0.301935,0.374903,-585.319
"105",-655.275,2.35674,4.14764,69.1435,-2.13889,0.350505,0.325389,2.54451,0.263018,0.173198,0.373946,0.181915,0.0757832,0.574199,2.1764,1.50511,1.91137,1.05456,2.08359,5.21603,6.84123,5.3519,6.82409,7.06354,6.16463,0.701272,0.306773,-582.516
"106",-644.198,1.2939,4.60176,83.3231,-3.21933,0.226261,0.401558,2.3952,0.258878,0.228037,0.415961,0.187245,0.137751,1.54392,2.04797,0.484397,2.76255,0.249287,2.46707,4.80962,6.82426,6.717,7.07288,6.96399,6.22787,0.579826,0.565221,-576.298
"107",-643.947,2.19134,3.86002,76.8314,-1.8022,0.735934,0.49406,2.60106,0.26276,0.197155,0.412641,0.12105,0.202293,0.312465,0.189098,0.832562,4.17271,1.93289,3.27036,5.02836,6.73722,6.57082,7.04762,6.83225,5.77018,0.384437,0.43275,-572.872
"108",-652.865,2.70371,4.03601,70.385,-1.35599,-0.429287,0.518626,2.2772,0.274925,0.196645,0.427106,0.180052,0.082107,0.382553,1.41439,0.998945,1.91106,1.05792,4.58783,4.86422,6.73036,7.51364,7.26001,6.74089,5.84205,0.218808,0.345521,-571.768
"109",-649.746,1.42285,4.69443,77.0136,-2.58648,0.735222,0.471944,2.43778,0.230207,0.205431,0.360995,0.149347,0.191198,0.426702,0.898057,1.30756,2.76279,1.08181,3.36936,5.01789,6.68161,7.94904,7.03517,6.51508,6.08809,0.418719,0.546574,-582.484
"110",-645.745,1.90792,4.52532,92.6105,-2.42432,0.576743,0.560678,2.90416,0.322264,0.1465,0.358951,0.144282,0.182042,0.527312,0.892837,1.42146,1.09814,0.335122,2.24581,5.13446,6.75756,5.76405,7.00989,6.78348,6.22079,0.531091,0.446409,-578.224
"111",-648.028,1.41142,4.62973,60.2427,-2.53788,0.187826,0.684656,2.46487,0.255408,0.180514,0.319084,0.157466,0.106359,1.99833,1.18588,0.884137,2.74017,2.59235,2.6296,4.60942,6.70291,7.38261,6.95464,6.91632,5.89806,0.558612,0.387289,-576.287
"112",-661.668,1.75241,3.90428,93.8064,-2.26055,0.130797,0.477566,2.38215,0.211324,0.248618,0.433254,0.248681,0.0586534,0.758701,1.55847,0.481011,1.13268,0.0455587,3.99959,5.00398,6.94395,6.28466,7.3318,6.78805,6.37554,0.360374,0.305248,-585.572
"113",-638.921,2.00616,5.12631,74.4103,-2.37151,-0.0959334,0.404295,2.15474,0.25908,0.156521,0.417855,0.167487,0.159805,0.729644,1.20294,0.43464,2.68128,1.87896,4.07845,4.89107,6.78368,7.32932,7.33044,6.83225,6.35021,0.345843,0.334245,-574.33
"114",-641.771,2.39743,5.04745,85.8264,-1.8245,1.29987,0.443878,2.03007,0.275599,0.163853,0.359216,0.157614,0.0826477,2.14137,1.31224,1.43166,3.14482,0.791096,2.14331,4.26963,6.66916,6.96102,6.98919,6.74565,6.43063,0.576853,0.457328,-576.676
"115",-653.009,1.38311,4.06482,69.4851,-2.07275,-0.259879,0.291741,2.05897,0.311338,0.173911,0.4041,0.149779,0.151728,0.457175,1.67316,0.960966,2.6132,0.00515632,3.31649,4.92009,6.85597,5.71259,7.13924,6.94059,6.14625,0.39964,0.368893,-576.227
"116",-650.021,1.35349,4.50741,77.6578,-2.2264,0.728164,0.635003,2.38226,0.126144,0.190482,0.40515,0.151738,0.0431017,0.229565,0.901302,0.533765,0.896763,1.04474,3.14209,5.15204,6.73512,7.84338,7.20898,6.82759,6.02725,0.53704,0.390966,-578.021
"117",-636.967,1.92769,4.72201,70.192,-2.158,0.495295,0.553529,2.49424,0.236235,0.168668,0.453189,0.177134,0.226065,0.615472,2.2189,1.84857,3.98612,1.57791,3.33977,4.92898,6.77845,8.3941,7.00587,6.80479,5.93488,0.59103,0.514201,-572.017
"118",-646.088,2.1347,4.71636,94.4724,-2.37743,1.08488,0.408508,2.72651,0.267683,0.165753,0.373252,0.137716,0.219196,0.422401,1.8127,1.96217,1.42319,0.166852,3.5803,5.13572,6.92727,5.79726,7.19693,6.81192,6.25652,0.335644,0.326149,-577.322
"119",-648.004,1.51154,4.45221,62.6829,-1.92567,0.141878,0.424295,2.53373,0.299379,0.188612,0.468578,0.13119,0.0546,1.19499,2.05878,0.205773,2.07307,1.8029,2.79174,4.78256,6.7506,7.91362,6.8686,6.69749,5.95128,0.411035,0.475436,-574.455
"120",-655.974,1.13117,4.6733,29.5035,-1.36092,0.131157,0.571874,2.16073,0.245301,0.181914,0.470844,0.148136,0.0931271,0.532393,1.35634,1.44413,2.60297,0.621576,2.01463,4.47452,6.43211,5.26618,6.58616,6.65957,6.14397,0.583473,0.652346,-572.282
"121",-650.507,1.80714,4.4885,80.9566,-1.75081,0.261134,0.364636,2.45242,0.222479,0.182796,0.418383,0.200369,0.109728,0.193729,3.9131,0.219827,2.49254,1.59162,3.47665,5.01768,6.75576,7.88184,7.18942,6.75695,6.59472,0.466316,0.442409,-577.571
"122",-649.67,2.18371,4.39318,57.1008,-2.29106,-0.0409144,0.534828,2.53782,0.199201,0.145558,0.404234,0.157891,0.137882,0.427318,1.14011,1.82313,3.28585,0.263273,3.40708,5.01799,6.72799,5.68791,7.19495,6.89016,6.0805,0.310173,0.204036,-577.535
"123",-645.485,1.89826,4.81975,72.1815,-2.70922,0.233606,0.407541,2.50789,0.183294,0.168522,0.45725,0.15014,0.128234,1.35327,0.737342,0.571572,3.8948,2.59951,2.39136,4.71594,6.82589,7.10642,6.94241,7.00064,5.69777,0.467627,0.539391,-573.541
"124",-645.718,1.22785,4.129,76.1512,-2.5276,-0.461086,0.368903,2.19385,0.229312,0.173525,0.381854,0.131257,0.101449,1.19327,1.32984,3.00938,1.72969,1.19876,3.46433,4.94349,6.9398,7.14523,7.15729,6.74704,6.2818,0.389313,0.419017,-571.465
"125",-651.058,2.33321,4.00705,68.5897,-1.3065,0.442439,0.27855,2.09832,0.223705,0.167302,0.400891,0.144695,0.0879328,0.865285,0.598926,1.0001,2.68511,1.67802,2.19594,4.57799,6.77207,6.26518,6.90706,6.78316,6.50782,0.622148,0.593721,-577.759
"126",-639.941,2.02755,4.33232,87.674,-2.19957,0.214709,0.407821,2.26201,0.284345,0.149596,0.407221,0.126159,0.242462,0.408146,1.72739,1.42053,1.18994,0.375609,3.2655,4.99748,6.81633,5.74451,7.17959,6.97332,6.20183,0.358614,0.519347,-579.836
"127",-655.627,1.86259,5.19158,50.3022,-2.87035,1.95515,0.339332,2.27695,0.324423,0.214376,0.388726,0.151946,0.272105,1.19651,1.29975,0.0826404,2.82177,2.05842,2.0713,4.66385,6.71232,6.43179,6.69252,6.86801,5.82863,0.582318,0.459684,-578.825
"128",-649.573,1.83605,5.02696,74.0139,-2.57258,0.547756,0.446296,2.27582,0.283534,0.171545,0.411683,0.145472,0.15898,0.684772,1.37917,1.95096,1.76378,0.00584588,2.97707,4.95483,6.82045,5.88563,7.18232,6.79105,5.91133,0.329395,0.331744,-575.412
"129",-647.523,2.43799,4.19127,71.0738,-1.2927,0.969725,0.365544,2.11417,0.234604,0.192826,0.438028,0.187789,0.130646,0.698848,1.83233,0.877925,2.39957,1.27437,2.6187,4.71168,6.85717,5.31844,6.98314,6.67925,6.18578,0.499154,0.404553,-578.598
