"","lp__","hs[1]","hs[2]","hl","ts[1]","ts[2]","gamma","rho[1]","phi","delta[1]","delta[2]","delta[3]","delta[4]","L[1,1]","tau[1]","tau[2]","tau[3]","tau[4]","w[1]","lc[1,1]","lc[2,1]","lc[3,1]","lc[2,2]","lc[2,3]","lc[2,4]","alpha[1]","beta[1]","ll"
"169",-648.684,2.69557,3.73526,89.9915,-2.88067,0.405006,0.501185,2.61472,0.272343,0.173055,0.396419,0.158188,0.174928,0.309414,0.758023,3.4503,2.87443,0.945095,2.21449,5.16725,6.81065,6.02658,6.87983,6.72239,5.94045,0.625247,0.626195,-579.322
"170",-655.109,2.6597,4.75288,56.4712,-1.9143,-0.704535,0.486926,2.58534,0.262759,0.192062,0.376199,0.126189,0.15785,1.19905,0.236605,0.402979,1.75606,1.79709,1.95864,4.54033,6.59493,6.58083,6.72455,6.92895,6.19557,0.602963,0.805531,-581.2
"171",-645.445,3.00926,4.05182,60.6748,-2.28534,-0.359145,0.508135,2.54685,0.245016,0.231542,0.404674,0.176238,0.127367,0.298497,1.67345,0.5238,3.2499,1.13659,2.47139,4.95922,6.79421,5.8247,7.09309,6.73494,5.90928,0.546109,0.60247,-573.514
"172",-652.544,1.23433,3.37703,72.0195,-1.82829,0.212476,0.608369,2.49897,0.348643,0.152883,0.544983,0.146039,0.282353,1.42907,2.63025,2.08128,1.67036,1.71624,2.90591,4.72267,6.68156,6.74838,7.12323,6.67891,5.90082,0.371043,0.340388,-582.501
"173",-647.692,2.01116,4.04296,82.5906,-1.3087,0.570248,0.334631,2.46291,0.177888,0.185769,0.421837,0.152823,0.117475,0.452028,0.981706,0.440391,2.05909,1.56636,2.64588,4.91941,6.86004,5.25186,7.03709,6.7911,5.86229,0.303356,0.276847,-577.625
"174",-640.877,1.03288,4.19523,87.4974,-1.31727,0.636113,0.417932,2.12561,0.277888,0.170269,0.471907,0.167372,0.12003,0.914057,1.41246,1.16727,2.61708,1.41663,3.55215,4.80653,6.91444,6.52549,7.21089,6.73605,6.33181,0.344991,0.424539,-578.211
"175",-646.245,1.59363,3.79005,47.5057,-1.64236,0.394954,0.491572,2.47428,0.187065,0.214032,0.403424,0.150942,0.108231,1.79464,0.686983,2.36486,3.16759,0.486488,2.59355,4.37016,6.6519,6.97752,6.83233,6.84056,6.32159,0.515096,0.537822,-569.499
"176",-651.166,2.6134,3.83726,89.7365,-1.79109,0.594103,0.330817,2.2941,0.187269,0.190624,0.431524,0.155291,0.218932,0.828188,1.16394,0.954203,2.46391,1.04688,3.29285,4.77521,6.84361,4.99832,7.20467,6.79026,5.88573,0.301993,0.446351,-577.422
"177",-652.302,1.73095,4.04657,77.0061,-1.71768,-0.0474921,0.501814,2.85636,0.248274,0.18984,0.369565,0.196731,0.154148,1.24386,0.627325,1.21651,2.98253,0.475961,2.44664,4.77277,6.84483,5.62178,7.04447,6.93454,6.07266,0.489224,0.512998,-576.762
"178",-646.528,1.15036,4.13706,71.8288,-2.69352,0.194311,0.462722,2.55374,0.228641,0.151151,0.41161,0.150182,0.113258,0.809441,2.26018,1.65918,1.84145,1.6492,2.9195,5.04803,6.57145,7.40844,7.06701,6.86072,6.25308,0.420267,0.390185,-576.579
"179",-660.967,0.9058,4.96251,87.8167,-1.24818,1.0263,0.371102,2.90075,0.264352,0.16818,0.326932,0.139413,0.129262,1.04736,0.382112,1.031,2.69667,1.19095,2.85677,4.81547,6.74607,5.28485,7.02741,6.88597,6.98529,0.412538,0.60912,-584.805
"180",-640.137,2.09211,4.06565,80.7006,-2.16712,-0.954088,0.417377,2.494,0.321111,0.161186,0.313777,0.136097,0.124678,0.962689,2.42923,1.4401,3.69133,0.627844,3.14013,4.82683,6.97069,6.01011,7.27608,6.78201,6.57299,0.375261,0.36543,-572.509
"181",-650.602,2.77308,4.69167,78.7351,-2.47666,-0.103952,0.566117,2.80622,0.197497,0.148608,0.362961,0.139536,0.0779181,0.115566,0.672407,1.35712,1.29536,2.92221,2.57642,5.2944,6.70185,7.55332,6.91547,6.80302,6.03223,0.408515,0.665563,-581.344
"182",-659.179,2.53625,4.90255,98.2802,-2.08307,0.310622,0.341918,2.19613,0.260614,0.198088,0.386393,0.183569,0.118067,0.525822,2.15703,0.900407,1.60407,0.411223,3.08403,4.89602,6.87846,6.05933,7.24392,6.9169,6.41168,0.43431,0.496656,-579.297
"183",-644.198,1.59114,4.11794,63.9603,-1.93719,-0.18049,0.539679,2.65313,0.228069,0.158908,0.412732,0.154282,0.266806,1.0227,2.12195,0.737238,1.79869,0.452793,1.54684,4.54466,6.73062,5.50336,6.5345,6.47343,6.02164,0.759246,0.736891,-579.255
"184",-649.166,1.51935,4.27315,51.616,-2.19042,-0.184224,0.505156,2.50463,0.2982,0.204844,0.467778,0.231711,0.0964168,1.05358,1.76183,1.62602,2.2935,0.825995,2.86377,4.69379,6.78246,5.21853,7.03214,6.97566,6.12501,0.509879,0.521164,-575.706
"185",-662.236,2.0606,4.35471,50.3634,-1.43088,-0.0315543,0.318846,2.47272,0.260312,0.247594,0.46991,0.199007,0.253488,0.47216,0.97016,1.78557,1.35824,0.878975,2.04298,5.00357,6.69114,4.48437,6.68817,7.00965,6.22745,0.883495,0.932814,-585.972
"186",-653.924,2.35934,4.07866,85.0019,-2.37914,-0.223849,0.402942,2.85511,0.191575,0.188703,0.417449,0.16321,0.153235,0.00866596,1.23881,1.61509,0.702871,0.514896,2.87808,5.48426,6.78294,5.1665,7.14748,6.88449,6.02674,0.467497,0.504035,-576.987
"187",-646.012,1.68487,5.16557,71.2081,-2.01791,0.315344,0.559103,2.96033,0.253753,0.170173,0.35846,0.170423,0.275366,1.06155,2.11888,0.404514,2.93314,0.69459,3.43387,4.83564,6.83804,8.792,6.92928,6.77417,5.98171,0.459584,0.503466,-576.872
"188",-648.962,1.64274,4.90074,76.3358,-2.02472,0.917919,0.50727,2.69382,0.34036,0.197174,0.338941,0.119567,0.0805877,0.849571,1.54146,2.70272,2.42557,1.69584,1.84923,4.87068,6.42307,7.48558,6.60559,6.76245,6.11007,0.482717,0.52847,-581.33
"189",-643.641,2.07559,3.72104,66.1156,-2.06522,0.0287246,0.513376,2.79253,0.259033,0.196587,0.425848,0.132549,0.165894,1.10229,0.670549,1.58306,3.56281,0.675792,2.30135,4.65235,6.82582,6.37285,6.79772,6.47304,5.34776,0.399563,0.514488,-579.499
"190",-643.405,2.15459,4.80161,65.3561,-2.88129,0.401284,0.331118,2.42658,0.181035,0.199442,0.444831,0.141144,0.0905362,0.576358,1.96709,1.64287,2.63364,0.132417,4.03316,4.94044,6.66375,7.72679,7.17055,6.7736,6.44455,0.354027,0.403674,-572.257
"191",-649.397,1.6059,3.38188,86.8085,-1.45383,0.259947,0.778858,2.35481,0.233164,0.195246,0.3691,0.171325,0.172997,0.731071,1.49174,1.41587,1.69195,1.39779,3.71803,4.89836,6.82801,7.46178,7.21021,6.75523,6.29485,0.417041,0.459833,-575.248
"192",-662.782,2.20231,4.07239,71.4489,-2.62851,-0.00756053,0.327219,2.36649,0.264657,0.166642,0.373191,0.118496,0.161594,0.654046,1.12173,0.648236,2.31787,2.89686,3.46539,4.82807,6.68651,8.13821,7.04939,6.61826,6.68163,0.288986,0.386952,-587.053
"193",-659.436,0.941042,4.20953,82.8833,-2.41042,0.927683,0.527638,2.45339,0.275211,0.189054,0.461491,0.152038,0.186955,0.550202,2.02801,3.21492,3.56916,0.48296,2.27656,4.99772,6.7374,6.9445,6.57434,6.81168,5.71616,0.495937,0.717648,-583.839
"194",-640.271,2.17823,4.03885,62.5434,-1.64976,0.18015,0.421814,2.82782,0.239614,0.20597,0.428941,0.202291,0.119864,1.98529,1.10153,2.12623,2.62399,1.91647,2.51526,4.47147,6.74864,5.48142,7.01524,6.62907,6.27302,0.462382,0.502117,-576.574
"195",-661.238,1.54594,3.43178,56.4255,-0.889513,0.0282527,0.646683,2.21121,0.351099,0.138376,0.381739,0.16301,0.0344276,0.543003,2.28695,0.401637,1.47335,2.25249,2.51623,4.65994,6.66693,6.57859,7.08797,6.87252,6.40295,0.434448,0.395287,-579.909
"196",-652.826,1.38932,4.26455,56.013,-0.944323,0.125796,0.502178,2.12942,0.25206,0.214864,0.385584,0.169362,0.1766,0.368799,0.558325,0.741648,2.58594,1.10701,2.59007,4.75527,6.74077,5.5763,7.01446,6.70953,6.64869,0.51457,0.432428,-583.06
"197",-660.632,1.98438,4.29414,43.9204,-2.36578,1.03942,0.525083,2.57349,0.197415,0.196729,0.371104,0.17497,0.103798,1.48598,2.21993,0.47015,2.41115,2.06492,1.93058,4.42179,6.58404,6.5788,6.43942,6.81686,5.54611,0.667724,0.442789,-581.277
"198",-641.963,2.00722,4.60307,36.4972,-2.1691,0.169314,0.586456,2.21331,0.229862,0.183441,0.405707,0.127796,0.155447,0.73711,1.5599,1.48087,2.55544,1.84922,1.93513,4.43042,6.46825,4.88066,6.66039,6.63801,5.86865,0.518231,0.713215,-569.541
"199",-645.649,2.39087,5.40043,93.2441,-2.08289,-0.760744,0.359869,2.28117,0.268382,0.181179,0.408597,0.130046,0.066099,0.684199,0.736457,0.986572,1.307,1.21051,3.40402,4.89508,6.96705,5.65024,7.26788,6.98531,6.44212,0.29216,0.398253,-574.554
"200",-648.292,1.92056,3.98354,69.3671,-2.10582,0.117829,0.538266,2.74495,0.259914,0.191391,0.433625,0.212531,0.139935,0.750699,0.8043,0.80989,2.15487,1.7849,4.26331,4.9448,6.8444,7.12489,7.2459,6.71431,6.49903,0.318821,0.360687,-578.599
