month,serostatus,trial,serotype,mean,lower,upper,N
1,SN,TAK,DENV-1,296.0543224,229.1217425,280.0376852,702
1,SP,TAK,DENV-1,2461.968127,2044.539999,2498.882221,1816
1,SN,TAK,DENV-2,2046.36366,1952.000388,2385.778252,702
1,SP,TAK,DENV-2,4749.161346,4733.859397,5785.828152,1816
1,SN,TAK,DENV-3,239.8050478,183.6197915,224.4241897,702
1,SP,TAK,DENV-3,1701.362754,1399.097337,1710.007856,1816
1,SN,TAK,DENV-4,223.7509383,179.7114481,219.6473255,702
1,SP,TAK,DENV-4,1367.871452,1144.02772,1398.256103,1816
